document_id,question,type,options
Code of Conduct,Are employees required to comply with all applicable laws and regulations,bol_radio,"[Yes, No]"
Code of Conduct,How can violations be reported,multi select,"[Manager, HR, Anonymous Channel]"
Code of Conduct,Are retaliation protections provided for reporters,bol_radio,"[Yes, No]"
Code of Conduct,"If exceptions to this policy are allowed, please describe the specific circumstances.",text area,None
Code of Conduct,Describe the disciplinary actions that may result from violations of the Code of Conduct.,text area,None
Code of Conduct,Describe the disciplinary actions that may result from violations of the Code of Conduct.,text area,None
Code of Conduct,"Specify rules regarding gifts, hospitality, bribery, and ethical conduct with third parties.",text area,None
Anti-Harassment Policy,Company name,text,None
Anti-Harassment Policy,Company locations,text,None
Anti-Harassment Policy,Operating country/countries,text,None
Anti-Harassment Policy,Applies to,multi select,"[Full-time, Part-time, Contractor, Intern, Freelance]"
Anti-Harassment Policy,Effective date,calendar,None
Anti-Harassment Policy,"is harassment prohibited in all forms (verbal, physical, written, online):",bol_radio,"[Yes, No]"
Anti-Harassment Policy,Does this policy cover workplace and work-related events,bol_radio,"[Yes, No]"
Anti-Harassment Policy,"Does this policy apply to interactions with third parties (clients, vendors)",bol_radio,"[Yes, No]"
Anti-Harassment Policy,How can harassment be reported,multi select,"[Manager, HR, Anonymous Channel]"
Anti-Harassment Policy,Are retaliation protections provided for complainants and witnesses,bol_radio,"[Yes, No]"
Anti-Harassment Policy,Will reported complaints be investigated promptly and confidentially,bol_radio,"[Yes, No]"
Anti-Harassment Policy,Can disciplinary action be taken for policy violations,bol_radio,"[Yes, No]"
Anti-Harassment Policy,"If exceptions to this policy are allowed, please describe the specific circumstances.",text area,None
Anti-Harassment Policy,Define harassment and provide examples of prohibited conduct under this policy,text area,None
Anti-Harassment Policy,Define harassment and provide examples of prohibited conduct under this policy,text area,None
Anti-Harassment Policy,Specify how knowingly false or malicious complaints will be addressed,text area,None
Compensation Philosophy,Company name,text,None
Compensation Philosophy,Company locations,text,None
Compensation Philosophy,Operating country/countries,text,None
Compensation Philosophy,Applies to,multi select,"[Full-time, Part-time, Contractor, Intern, Freelance]"
Compensation Philosophy,Effective date,calendar,None
Compensation Philosophy,Compensation philosophy type,multi select,"[Market-based, Performance-based, Equity-focused, Mixed]"
Compensation Philosophy,Is compensation reviewed regularly,bol_radio,"[Yes, No]"
Compensation Philosophy,Compensation review frequency,multi select,"[Management, HR, Board]"
Compensation Philosophy,Does compensation include variable pay,bol_radio,"[Yes, No]"
Compensation Philosophy,Does compensation include equity or long-term incentives,bol_radio,"[Yes, No]"
Compensation Philosophy,Is internal pay equity considered,bol_radio,"[Yes, No]"
Compensation Philosophy,Are compensation decisions based on performance,bol_radio,"[Yes, No]"
Compensation Philosophy,Is compensation philosophy communicated to employees,bol_radio,"[Yes, No]"
Compensation Philosophy,Who approves compensation decisions,multi select,"[Management, HR, Board]"
Compensation Philosophy,"If exceptions to this policy are allowed, please describe the specific circumstances.",text area,None
Compensation Philosophy,"Describe the company’s overall compensation philosophy and objectives, including how pay supports business strategy and talent goals.",text area,None
Compensation Philosophy,"Describe the company’s overall compensation philosophy and objectives, including how pay supports business strategy and talent goals.",text area,None
Compensation Philosophy,"Describe the company’s overall compensation philosophy and objectives, including how pay supports business strategy and talent goals.",text area,None
Compensation Philosophy,"Describe the company’s overall compensation philosophy and objectives, including how pay supports business strategy and talent goals.",text area,None
Sabbatical Policy,Company name,text,None
Sabbatical Policy,Company locations,text,None
Sabbatical Policy,Operating country/countries,text,None
Sabbatical Policy,Applies to,multi select,"[Full-time, Part-time, Contractor, Intern, Freelance]"
Sabbatical Policy,Effective date,calendar,None
Sabbatical Policy,Is a sabbatical program offered by the company,bol_radio,"[Yes, No]"
Sabbatical Policy,Minimum tenure required to be eligible for a sabbatical,text,None
Sabbatical Policy,Maximum sabbatical duration,text,None
Sabbatical Policy,Is the sabbatical paid,bol_radio,"[Yes, No]"
Sabbatical Policy,"How often can an employee take a sabbatical (Once, Every X Years)",text,None
Sabbatical Policy,Is approval required for sabbatical leave,bol_radio,"[Yes, No]"
Sabbatical Policy,Who approves sabbatical requests,multi select,"[Manager, HR, Management]"
Sabbatical Policy,Is the employee guaranteed the same or equivalent role after return,bol_radio,"[Yes, No]"
Sabbatical Policy,"If exceptions to this policy are allowed, please describe the specific circumstances.",text area,None
Sabbatical Policy,Describe the purpose of the sabbatical program and its intended benefits for employees and the company.,text area,None
Sabbatical Policy,"Explain how compensation, benefits, seniority, and employment status are treated during a sabbatical.",text area,None
Sabbatical Policy,"Explain how compensation, benefits, seniority, and employment status are treated during a sabbatical.",text area,None
Travel & Expense Policy,Company name,text,None
Travel & Expense Policy,Company locations,text,None
Travel & Expense Policy,Operating country/countries,text,None
Travel & Expense Policy,Applies to,multi select,"[Full-time, Part-time, Contractor, Intern, Freelance]"
Travel & Expense Policy,Effective date,calendar,None
Travel & Expense Policy,Is business travel allowed,bol_radio,"[Yes, No]"
Travel & Expense Policy,Is prior approval required for business travel,bol_radio,"[Yes, No]"
Travel & Expense Policy,if prior approval required who approves business travel,multi select,"[Manager, HR, Finance]"
Travel & Expense Policy,Are business-related travel expenses reimbursable,bol_radio,"[Yes, No]"
Travel & Expense Policy,Expense categories covered,multi select,"[Travel, Lodging, Meals, Local Transport, Other]"
Travel & Expense Policy,Is there a maximum expense limit per trip,bol_radio,"[Yes, No]"
Travel & Expense Policy,Maximum expense amount (if applicable),text,None
Travel & Expense Policy,Is proof of expense required (receipts/invoices),bol_radio,"[Yes, No]"
Travel & Expense Policy,Time limit to submit expense claims,text,None
Travel & Expense Policy,Reimbursement method,radio,"[Bank Transfer, Payroll Addition, Cash]"
Travel & Expense Policy,Can reimbursement be denied if policy is not followed,bol_radio,"[Yes, No]"
Travel & Expense Policy,"If exceptions to this policy are allowed, please describe the specific circumstances.",text area,None
Travel & Expense Policy,Describe the purpose of business travel and the types of trips covered under this policy.,text area,None
Travel & Expense Policy,Describe the purpose of business travel and the types of trips covered under this policy.,text area,None
Travel & Expense Policy,Describe the purpose of business travel and the types of trips covered under this policy.,text area,None
Equipment Policy,Company name,text,None
Equipment Policy,Company locations,text,None
Equipment Policy,Operating country/countries,text,None
Equipment Policy,Applies to,multi select,"[Full-time, Part-time, Contractor, Intern, Freelance]"
Equipment Policy,Effective date,calendar,None
Equipment Policy,Does the company provide work equipment?,bol_radio,"[Yes, No]"
Equipment Policy,Types of equipment provided,multi select,"[Laptop, Monitor, Accessories, Other]"
Equipment Policy,Is company-provided equipment mandatory for work?,bol_radio,"[Yes, No]"
Equipment Policy,Can equipment be used for personal purposes? ,bol_radio,"[Yes, No]"
Equipment Policy,Who is responsible for equipment care and maintenance?,multi select,"[Employee, Company]"
Equipment Policy,Must loss or damage of equipment be reported?,bol_radio,"[Yes, No]"
Equipment Policy,Must equipment be returned upon exit or role change?,bol_radio,"[Yes, No]"
Equipment Policy,Can the company request equipment return at any time?,bol_radio,"[Yes, No]"
Equipment Policy,"If exceptions to this policy are allowed, please describe the specific circumstances.",text area,None
Equipment Policy,Describe the purpose of providing company equipment and who the policy applies to.,text area,None
Equipment Policy,"Define acceptable use of company-provided equipment and any prohibited activities, including misuse or unauthorized access.",text area,None
Equipment Policy,"Explain responsibilities, reporting timelines, and potential liability in cases of loss, theft, or damage of equipment.",text area,None
Equipment Policy,"Describe the process for equipment return, inspection, and data security requirements upon exit or role change.",text area,None
Referral Program,Company name,text,None
Referral Program,Company locations,text,None
Referral Program,Operating country/countries,text,None
Referral Program,Applies to,multi select,"[Full-time, Part-time, Contractor, Intern, Freelance]"
Referral Program,Effective date,calendar,None
Referral Program,Is an employee referral program offered by the company,bol_radio,"[Yes, No]"
Referral Program,Who can be referred under this program,multi select,"[Job Candidates, Freelancers, Vendors] "
Referral Program,How can referrals be submitted,multi select,"[Email, HR Tool, ATS, Other] "
Referral Program,Is there a limit on the number of referrals per employee,bol_radio,"[Yes, No]"
Referral Program,Referral submission validity period,text,None
Referral Program,Is a referral reward or incentive offered,bol_radio,"[Yes, No]"
Referral Program,Type of referral reward,multi select,"[Cash Bonus, Gift Cards, Equity, Other]"
Referral Program,When is the referral reward paid,radio,"[On Hiring, After Probation, After a certrain Months]"
Referral Program,Briefly explain reward eligibility conditions,text area,None
Referral Program,Can referrals be disqualified due to policy violations,bol_radio,"[Yes, No]"
Referral Program,Are referrals subject to standard hiring processes and background checks,bol_radio,"[Yes, No]"
Referral Program,Describe the purpose of the employee referral program and how it supports hiring goals.,text area,None
Referral Program,"Define who is eligible or ineligible to participate in the referral program, including any role-based or relationship-based exclusions.",text area,None
Referral Program,"Define who is eligible or ineligible to participate in the referral program, including any role-based or relationship-based exclusions.",text area,None
Privacy Policy,Company name,text,None
Privacy Policy,Company locations,text,None
Privacy Policy,Operating country/countries,text,None
Privacy Policy,Applies to,multi select,"[Full-time, Part-time, Contractor, Intern, Freelance]"
Privacy Policy,Effective date,calendar,None
Privacy Policy,Is personal data collected,bol_radio,"[Yes, No]"
Privacy Policy,Types of personal data collected,multi select,"[Name, Email, Phone, IP Address, Other]"
Privacy Policy,"Is data collected automatically (cookies, analytics, logs)",bol_radio,"[Yes, No]"
Privacy Policy,Purpose of data collection,multi select,"[Service delivery, Communication, Analytics, Legal compliance]"
Privacy Policy,Is personal data shared with third parties,bol_radio,"[Yes, No]"
Privacy Policy,Third-party data sharing purpose,multi select,"[Service providers, Analytics, Legal requirements]"
Privacy Policy,Is personal data stored electronically,bol_radio,"[Yes, No]"
Privacy Policy,Is personal data protected using reasonable security measures,bol_radio,"[Yes, No]"
Privacy Policy,Is data retained only as long as necessary,bol_radio,"[Yes, No]"
Privacy Policy,Can users access or request correction of their personal data,bol_radio,"[Yes, No]"
Privacy Policy,Can users request deletion of their personal data,bol_radio,"[Yes, No]"
Privacy Policy,Is this policy compliant with applicable data protection laws,bol_radio,"[Yes, No]"
Privacy Policy,Can access to services be restricted for policy violations,bol_radio,"[Yes, No]"
Privacy Policy,"If exceptions to this policy are allowed, please describe the specific circumstances.",text area,None
Privacy Policy,"Identify who is responsible for personal data processing, protection, and compliance under this policy.",text area,None
Privacy Policy,"Describe how individuals can exercise their data rights (access, correction, deletion), including request procedures and response timelines.",text area,None
Privacy Policy,"Describe how individuals can exercise their data rights (access, correction, deletion), including request procedures and response timelines.",text area,None
Cookie Policy,Company name,text,None
Cookie Policy,Company locations,text,None
Cookie Policy,Operating country/countries,text,None
Cookie Policy,Applies to,multi select,"[Full-time, Part-time, Contractor, Intern, Freelance]"
Cookie Policy,Effective date,calendar,None
Cookie Policy,Does the website use cookies,bol_radio,"[Yes, No]"
Cookie Policy,Types of cookies used,multi select,"[Essential, Analytics, Functional, Advertising]"
Cookie Policy,Are cookies used for analytics or performance tracking,bol_radio,"[Yes, No]"
Cookie Policy,user consent required before placing non-essential cookies,bol_radio,"[Yes, No]"
Cookie Policy,Can users manage or disable cookies through browser settings,bol_radio,"[Yes, No]"
Cookie Policy,Is a cookie consent banner displayed on the website,bol_radio,"[Yes, No]"
Cookie Policy,Are third-party cookies used,bol_radio,"[Yes, No]"
Cookie Policy,Purpose of third-party cookies,multi select,"[Analytics, Advertising, Embedded content]"
Cookie Policy,"If exceptions to this policy are allowed, please describe the specific circumstances.",text area,None
Cookie Policy,Describe how cookies are used on the website and the purpose of each category of cookies,text area,None
Cookie Policy,"Explain how users can provide, withdraw, or manage their cookie consent and preferences",text area,None
Cookie Policy,"List third-party cookies used, their providers, and the purpose for which they are set.",text area,None
Cookie Policy,"List third-party cookies used, their providers, and the purpose for which they are set.",text area,None
Acceptable Use Policy,Company name,text,None
Acceptable Use Policy,Company locations,text,None
Acceptable Use Policy,Operating country/countries,text,None
Acceptable Use Policy,Applies to,multi select,"[Full-time, Part-time, Contractor, Intern, Freelance]"
Acceptable Use Policy,Effective date,calendar,None
Acceptable Use Policy,Is acceptable use of company systems and services mandatory,bol_radio,"[Yes, No]"
Acceptable Use Policy,Is illegal activity prohibited while using company services,bol_radio,"[Yes, No]"
Acceptable Use Policy,Is misuse or abuse of systems prohibited,bol_radio,"[Yes, No]"
Acceptable Use Policy,Is unauthorized access or attempt to bypass security prohibited,bol_radio,"[Yes, No]"
Acceptable Use Policy,"Is harmful, abusive, or offensive content prohibited",bol_radio,"[Yes, No]"
Acceptable Use Policy,Is spamming or excessive automated activity prohibited,bol_radio,"[Yes, No]"
Acceptable Use Policy,Is intellectual property infringement prohibited,bol_radio,"[Yes, No]"
Acceptable Use Policy,Can access to services be suspended or terminated for violations,bol_radio,"[Yes, No]"
Acceptable Use Policy,Can reported violations be investigated by the company,bol_radio,"[Yes, No]"
Acceptable Use Policy,"If exceptions to this policy are allowed, please describe the specific circumstances.",text area,None
Acceptable Use Policy,"Describe the purpose of this Acceptable Use Policy and the systems, services, and users it applies to.",text area,None
Acceptable Use Policy,"Explain whether and how the company may monitor the use of its systems, and outline employee privacy expectations.",text area,None
Acceptable Use Policy,Describe potential consequences or disciplinary actions for violations of this policy.,text area,None
Acceptable Use Policy,Outline user responsibilities for complying with this policy and reporting suspected misuse or violations.,text area,None
Security Policy,Company name,text,None
Security Policy,Company locations,text,None
Security Policy,Operating country/countries,text,None
Security Policy,Applies to,multi select,"[Full-time, Part-time, Contractor, Intern, Freelance]"
Security Policy,Effective date,calendar,None
Security Policy,Is compliance with security requirements mandatory,bol_radio,"[Yes, No]"
Security Policy,Are reasonable technical and organizational security measures implemented,bol_radio,"[Yes, No]"
Security Policy,Is access to systems restricted based on roles and responsibilities,bol_radio,"[Yes, No]"
Security Policy,Is authentication required to access company systems,bol_radio,"[Yes, No]"
Security Policy,Is multi-factor authentication enforced where applicable,bol_radio,"[Yes, No]"
Security Policy,Is encryption used to protect sensitive data,bol_radio,"[Yes, No]"
Security Policy,Is there a process to report security incidents,bol_radio,"[Yes, No]"
Security Policy,Are security incidents investigated and addressed promptly,bol_radio,"[Yes, No]"
Security Policy,Can access be restricted or revoked for security violations,bol_radio,"[Yes, No]"
Security Policy,"If exceptions to this policy are allowed, please describe the specific circumstances.",text area,None
Security Policy,"Describe the purpose of the security policy and the systems, data, and users it applies to.",text area,None
Security Policy,"Define security responsibilities of employees, contractors, managers, and IT or security teams.",text area,None
Security Policy,"Describe the steps for reporting, responding to, and escalating security incidents.",text area,None
Security Policy,"Specify any security awareness, training, or acknowledgment requirements for users.",text area,None
Copyright Policy (DMCA),Company name,text,None
Copyright Policy (DMCA),Company locations,text,None
Copyright Policy (DMCA),Operating country/countries,text,None
Copyright Policy (DMCA),Applies to,multi select,"[Full-time, Part-time, Contractor, Intern, Freelance]"
Copyright Policy (DMCA),Effective date,calendar,None
Copyright Policy (DMCA),Does the company respect intellectual property rights,bol_radio,"[Yes, No]"
Copyright Policy (DMCA),Is unauthorized use of copyrighted content prohibited,bol_radio,"[Yes, No]"
Copyright Policy (DMCA),Does the company comply with the DMCA takedown process,bol_radio,"[Yes, No]"
Copyright Policy (DMCA),Is there a process to submit copyright infringement notices,bol_radio,"[Yes, No]"
Copyright Policy (DMCA),Is a designated agent assigned to receive DMCA notices,bol_radio,"[Yes, No]"
Copyright Policy (DMCA),Can infringing content be removed upon valid notice,bol_radio,"[Yes, No]"
Copyright Policy (DMCA),Can repeat infringers have their access terminated,bol_radio,"[Yes, No]"
Copyright Policy (DMCA),"If exceptions to this policy are allowed, please describe the specific circumstances.",text area,None
Copyright Policy (DMCA),Method to submit DMCA notices,radio,"[Email, Web Form]"
Copyright Policy (DMCA),Describe the types of intellectual property covered by this policy and how the company protects its own and third-party rights.,text area,None
Copyright Policy (DMCA),"Explain the process for submitting, reviewing, and responding to copyright infringement or DMCA takedown notices.",text area,None
Copyright Policy (DMCA),"Describe how counter-notices, disputes, or claims of wrongful takedown are handled.",text area,None
Copyright Policy (DMCA),Define how repeat infringement is identified and the actions that may be taken against repeat infringers.,text area,None
API Rate Limiting Policy,Company name,text,None
API Rate Limiting Policy,Company locations,text,None
API Rate Limiting Policy,Operating country/countries,text,None
API Rate Limiting Policy,Applies to,multi select,"[Full-time, Part-time, Contractor, Intern, Freelance]"
API Rate Limiting Policy,Effective date,calendar,None
API Rate Limiting Policy,Is API usage subject to rate limits,bol_radio,"[Yes, No]"
API Rate Limiting Policy,what is the Rate limit type,text,None
API Rate Limiting Policy,Rate limit type,multi select,"[Requests per minute, Requests per hour, Requests per day]"
API Rate Limiting Policy,Maximum allowed requests per limit period,text,None
API Rate Limiting Policy,What happens when the rate limit is exceeded,multi select,"[Throttle, Temporary Block, Error Response]"
API Rate Limiting Policy,Are rate limits enforced automatically,bol_radio,"[Yes, No]"
API Rate Limiting Policy,Can API access be suspended for repeated violations,bol_radio,"[Yes, No]"
API Rate Limiting Policy,Are higher rate limits available by request,bol_radio,"[Yes, No]"
API Rate Limiting Policy,Who approves rate limit exceptions,radio,"[Engineering, Support]"
API Rate Limiting Policy,"If exceptions to this policy are allowed, please describe the specific circumstances.",text area,None
API Rate Limiting Policy,"Describe the purpose of API rate limiting and the APIs, users, or applications to which it applies.",text area,None
API Rate Limiting Policy,Explain acceptable API usage patterns and behaviors considered abusive or excessive.,text area,None
API Rate Limiting Policy,"Describe how API usage is monitored, how rate limit violations are enforced, and whether users are notified when limits are approached or exceeded.",text area,None
API Rate Limiting Policy,"Describe how API usage is monitored, how rate limit violations are enforced, and whether users are notified when limits are approached or exceeded.",text area,None
Dependency Update Policy,Company name,text,None
Dependency Update Policy,Company locations,text,None
Dependency Update Policy,Operating country/countries,text,None
Dependency Update Policy,Applies to,multi select,"[Full-time, Part-time, Contractor, Intern, Freelance]"
Dependency Update Policy,Effective date,calendar,None
Dependency Update Policy,Are third-party dependencies used in company systems,bol_radio,"[Yes, No]"
Dependency Update Policy,Is there a defined process to update dependencies regularly,bol_radio,"[Yes, No]"
Dependency Update Policy,Dependency update frequency,radio,"[Monthly, Quarterly, As Needed]"
Dependency Update Policy,Are security vulnerabilities in dependencies monitored,bol_radio,"[Yes, No]"
Dependency Update Policy,Are critical security updates prioritized,bol_radio,"[Yes, No]"
Dependency Update Policy,Are dependency updates tested before deployment,bol_radio,"[Yes, No]"
Dependency Update Policy,Can deployments be blocked if critical dependencies are outdated,bol_radio,"[Yes, No]"
Dependency Update Policy,"If exceptions to this policy are allowed, please describe the specific circumstances.",text area,None
Dependency Update Policy,"Describe the types of third-party dependencies covered by this policy, including libraries, frameworks, services, and tools.",text area,None
Dependency Update Policy,"Define responsibilities for identifying, updating, testing, and approving third-party dependencies.",text area,None
Dependency Update Policy,"Explain how security vulnerabilities in dependencies are assessed, prioritized, and remediated.",text area,None
Dependency Update Policy,Describe how end-of-life or unsupported dependencies are identified and handled.,text area,None
Expense Reimbursement Policy,Company name,text,None
Expense Reimbursement Policy,Company locations,text,None
Expense Reimbursement Policy,Operating country/countries,text,None
Expense Reimbursement Policy,Applies to,multi select,"[Full-time, Part-time, Contractor, Intern, Freelance]"
Expense Reimbursement Policy,Effective date,calendar,None
Expense Reimbursement Policy,Are business-related expenses eligible for reimbursement,bol_radio,"[Yes, No]"
Expense Reimbursement Policy,Eligible expense categories,multi select,"[Travel, Meals, Lodging, Office Supplies, Internet/Phone, Other]"
Expense Reimbursement Policy,Briefly describe any excluded expenses (if applicable),text,None
Expense Reimbursement Policy,Is there a reimbursement limit per expense or period,bol_radio,"[Yes, No]"
Expense Reimbursement Policy,Reimbursement limit details (amount and period),text,None
Expense Reimbursement Policy,Is approval required before submitting expenses,bol_radio,"[Yes, No]"
Expense Reimbursement Policy,Who approves expense reimbursements,radio,"[Manager, Finance, HR]"
Expense Reimbursement Policy,Time limit to submit expense claims,text,None
Expense Reimbursement Policy,Is proof of expense required,bol_radio,"[Yes, No]"
Expense Reimbursement Policy,Accepted proof types,radio,"[Receipts, Invoices, Digital Copies] "
Expense Reimbursement Policy,Reimbursement method,radio,"[Payroll, Bank Transfer, Expense Platform]"
Expense Reimbursement Policy,Can reimbursement be denied if policy requirements are not met,bol_radio,"[Yes, No]"
Expense Reimbursement Policy,Are exceptions to this policy allowed,bol_radio,"[Yes, No]"
Expense Reimbursement Policy,"If exceptions to this policy are allowed, please describe the specific circumstances.",text area,None
Expense Reimbursement Policy,Describe the purpose of the expense reimbursement policy and the types of business expenses it is intended to cover.,text area,None
Expense Reimbursement Policy,Explain general eligibility criteria for reimbursable expenses and provide guidance on common non-reimbursable items.,text area,None
Expense Reimbursement Policy,"Describe the process for submitting, reviewing, and approving expense claims, including timelines and responsibilities.",text area,None
Expense Reimbursement Policy,"Describe the process for submitting, reviewing, and approving expense claims, including timelines and responsibilities.",text area,None
Procurement Policy,Company name,text,None
Procurement Policy,Company locations,text,None
Procurement Policy,Operating country/countries,text,None
Procurement Policy,Applies to,multi select,"[Full-time, Part-time, Contractor, Intern, Freelance]"
Procurement Policy,Effective date,calendar,None
Procurement Policy,Are purchases required to follow a formal procurement process,bol_radio,"[Yes, No]"
Procurement Policy,Types of purchases covered under this policy,multi select,"[Goods, Services, Software, Subscriptions, Other]"
Procurement Policy,Briefly describe any purchases excluded from this policy (if applicable),text,None
Procurement Policy,Is prior approval required before making a purchase,bol_radio,"[Yes, No]"
Procurement Policy,Who can approve purchases,multi select,"[Manager, Finance, Procurement]"
Procurement Policy,Approval threshold type,radio,"[Amount-based, Category-based, Both]"
Procurement Policy,Is vendor comparison or quotation required,bol_radio,"[Yes, No]"
Procurement Policy,Types of required documents,multi select,"[Purchase Order, Invoice, Contract]"
Procurement Policy,Can procurement requests be rejected if policy is not followed,bol_radio,"[Yes, No]"
Procurement Policy,Are exceptions to this policy allowed,bol_radio,"[Yes, No]"
Procurement Policy,"If exceptions to this policy are allowed, please describe the specific circumstances.",text area,None
Procurement Policy,Describe the purpose of the procurement policy and the types of purchases and users it applies to.,text area,None
Procurement Policy,"Explain how vendors are evaluated and selected, including due diligence, compliance, and risk considerations.",text area,None
Procurement Policy,"Explain how vendors are evaluated and selected, including due diligence, compliance, and risk considerations.",text area,None
Procurement Policy,"Specify documentation, record-keeping, and audit requirements related to procurement activities.",text area,None
Financial Controls Policy,Company name,text,None
Financial Controls Policy,Company locations,text,None
Financial Controls Policy,Operating country/countries,text,None
Financial Controls Policy,Applies to,multi select,"[Full-time, Part-time, Contractor, Intern, Freelance]"
Financial Controls Policy,Effective date,calendar,None
Financial Controls Policy,Does the company maintain formal financial controls,bol_radio,"[Yes, No]"
Financial Controls Policy,Primary objectives of financial controls,multi select,"[Accuracy, Fraud Prevention, Compliance, Transparency]"
Financial Controls Policy,Briefly describe the overall approach to financial controls,text,None
Financial Controls Policy,Is approval required for financial transactions,bol_radio,"[Yes, No]"
Financial Controls Policy,Who can authorize financial transactions,multi select,"[Management, Finance, Department Heads]"
Financial Controls Policy,"Is segregation of duties implemented (e.g., approval vs payment)",bol_radio,"[Yes, No]"
Financial Controls Policy,Are financial records maintained accurately and timely,bol_radio,"[Yes, No]"
Financial Controls Policy,Are periodic financial reviews or reconciliations performed,bol_radio,"[Yes, No]"
Financial Controls Policy,Financial review frequency,radio,"[Monthly, Quarterly, Annually]"
Financial Controls Policy,Are financial controls monitored for effectiveness,bol_radio,"[Yes, No]"
Financial Controls Policy,Can corrective action be taken for control failures,bol_radio,"[Yes, No]"
Financial Controls Policy,Are exceptions to this policy allowed,bol_radio,"[Yes, No]"
Financial Controls Policy,Explain how financial control exceptions are approved and documented,text area,None
Financial Controls Policy,"Describe the purpose of the financial controls policy and the financial activities, entities, and users it applies to.",text area,None
Financial Controls Policy,"Define the roles and responsibilities of management, finance, and other stakeholders in implementing and maintaining financial controls.",text area,None
Financial Controls Policy,"Explain how financial risks and potential fraud are identified, prevented, and addressed.",text area,None
Financial Controls Policy,"Describe how financial controls are monitored, audited, and improved over time.",text area,None
Revenue Recognition Policy,Company name,text,None
Revenue Recognition Policy,Company locations,text,None
Revenue Recognition Policy,Operating country/countries,text,None
Revenue Recognition Policy,Applies to,multi select,"[Full-time, Part-time, Contractor, Intern, Freelance]"
Revenue Recognition Policy,Effective date,calendar,None
Revenue Recognition Policy,Does the company follow a formal revenue recognition policy,bol_radio,"[Yes, No]"
Revenue Recognition Policy,Primary revenue sources,multi select,"[Product Sales, Subscription Revenue, Services, Licensing, Other]"
Revenue Recognition Policy,When is revenue recognized,text,None
Revenue Recognition Policy,Briefly explain how revenue recognition timing is determined,text,None
Revenue Recognition Policy,Are customer contracts reviewed before revenue recognition,bol_radio,"[Yes, No]"
Revenue Recognition Policy,Are performance obligations identified in contracts,bol_radio,"[Yes, No]"
Revenue Recognition Policy,Is revenue allocated across multiple obligations,bol_radio,"[Yes, No]"
Revenue Recognition Policy,"Are refunds, discounts, or credits considered in revenue recognition",bol_radio,"[Yes, No]"
